第0组X15Y-1:靶板中心(510.50, 283.50)光斑质心(510.16, 284.18)偏差: 0.00cm
第1组X15Y0:靶板中心(510.50, 309.00)光斑质心(510.17, 309.92)偏差: 0.27cm
第2组X15Y1:靶板中心(512.00, 308.00)光斑质心(511.73, 308.94)偏差: 0.28cm
第3组X15Y2:靶板中心(513.25, 307.00)光斑质心(512.95, 308.04)偏差: 0.41cm
第4组X15Y3:靶板中心(514.00, 307.00)光斑质心(513.91, 307.45)偏差: 0.35cm
第5组X15Y4:靶板中心(515.08, 306.16)光斑质心(514.55, 307.07)偏差: 0.37cm
第6组X15Y5:靶板中心(515.01, 306.02)光斑质心(514.85, 306.90)偏差: 0.19cm
第7组X15Y6:靶板中心(515.04, 306.08)光斑质心(514.84, 307.00)偏差: 0.24cm
第8组X15Y7:靶板中心(514.89, 306.79)光斑质心(514.52, 307.29)偏差: 0.15cm
第9组X15Y8:靶板中心(514.01, 307.01)光斑质心(513.88, 307.81)偏差: 0.09cm
第10组X15Y9:靶板中心(513.01, 308.01)光斑质心(512.93, 308.57)偏差: 0.20cm
第11组X15Y10:靶板中心(511.99, 308.99)光斑质心(511.69, 309.56)偏差: 0.10cm
第12组X15Y11:靶板中心(510.44, 310.04)光斑质心(510.12, 310.76)偏差: 0.08cm
第13组X15Y12:靶板中心(508.66, 311.46)光斑质心(508.26, 312.24)偏差: 0.21cm
第14组X15Y13:靶板中心(506.48, 313.34)光斑质心(506.08, 313.93)偏差: 0.00cm
第15组X15Y14:靶板中心(504.10, 315.17)光斑质心(503.61, 315.78)偏差: 0.09cm
第16组X15Y15:靶板中心(501.30, 317.47)光斑质心(500.82, 317.97)偏差: 0.02cm
第17组X15Y16:靶板中心(498.09, 319.73)光斑质心(497.77, 320.32)偏差: 0.03cm
第18组X15Y17:靶板中心(494.68, 322.32)光斑质心(494.40, 322.88)偏差: 0.07cm
第19组X15Y18:靶板中心(491.24, 325.25)光斑质心(490.76, 325.78)偏差: 0.05cm
第20组X15Y19:靶板中心(487.33, 328.27)光斑质心(486.83, 328.83)偏差: 0.11cm
第21组X15Y20:靶板中心(482.92, 331.54)光斑质心(482.61, 332.16)偏差: 0.04cm
第22组X15Y21:靶板中心(478.46, 335.04)光斑质心(478.19, 335.65)偏差: 0.02cm
第23组X15Y22:靶板中心(473.83, 338.82)光斑质心(473.41, 339.36)偏差: 0.07cm
第24组X15Y23:靶板中心(468.91, 342.80)光斑质心(468.49, 343.47)偏差: 0.23cm
第25组X15Y24:靶板中心(463.40, 347.04)光斑质心(463.15, 347.64)偏差: 0.04cm
第26组X15Y25:靶板中心(457.97, 351.46)光斑质心(457.65, 352.08)偏差: 0.13cm
第27组X15Y26:靶板中心(452.08, 356.33)光斑质心(451.87, 356.86)偏差: 0.06cm
第28组X15Y27:靶板中心(446.18, 361.21)光斑质心(445.91, 361.62)偏差: 0.15cm
第29组X15Y28:靶板中心(439.93, 366.18)光斑质心(439.75, 366.81)偏差: 0.10cm
第30组X15Y29:靶板中心(433.51, 371.60)光斑质心(433.24, 372.19)偏差: 0.13cm
第31组X15Y30:靶板中心(426.93, 377.15)光斑质心(426.66, 377.74)偏差: 0.14cm
第32组X15Y31:靶板中心(420.13, 382.91)光斑质心(419.73, 383.60)偏差: 0.43cm
第33组X15Y32:靶板中心(413.12, 388.97)光斑质心(412.75, 389.48)偏差: 0.19cm
第34组X15Y33:靶板中心(405.94, 395.31)光斑质心(405.53, 395.87)偏差: 0.32cm
