第0组X15Y-1:靶板中心(510.50, 283.50)光斑质心(510.29, 283.93)偏差: 0.00cm
第1组X15Y0:靶板中心(510.50, 309.09)光斑质心(510.29, 309.68)偏差: 0.18cm
第2组X15Y1:靶板中心(512.01, 308.06)光斑质心(511.85, 308.66)偏差: 0.18cm
第3组X15Y2:靶板中心(513.22, 307.40)光斑质心(513.08, 307.80)偏差: 0.07cm
第4组X15Y3:靶板中心(513.93, 306.87)光斑质心(514.03, 307.21)偏差: 0.14cm
第5组X15Y4:靶板中心(515.00, 306.50)光斑质心(514.67, 306.82)偏差: 0.02cm
第6组X15Y5:靶板中心(515.11, 306.32)光斑质心(514.98, 306.66)偏差: 0.13cm
第7组X15Y6:靶板中心(515.06, 306.43)光斑质心(514.97, 306.75)偏差: 0.17cm
第8组X15Y7:靶板中心(514.98, 306.52)光斑质心(514.64, 307.05)偏差: 0.20cm
第9组X15Y8:靶板中心(514.14, 307.28)光斑质心(514.02, 307.56)偏差: 0.20cm
第10组X15Y9:靶板中心(513.07, 307.94)光斑质心(513.06, 308.34)偏差: 0.09cm
第11组X15Y10:靶板中心(511.96, 308.86)光斑质心(511.81, 309.33)偏差: 0.04cm
第12组X15Y11:靶板中心(510.50, 310.25)光斑质心(510.25, 310.53)偏差: 0.12cm
第13组X15Y12:靶板中心(508.56, 311.45)光斑质心(508.39, 312.00)偏差: 0.15cm
第14组X15Y13:靶板中心(506.46, 313.37)光斑质心(506.21, 313.68)偏差: 0.07cm
第15组X15Y14:靶板中心(503.89, 315.23)光斑质心(503.74, 315.55)偏差: 0.12cm
第16组X15Y15:靶板中心(501.12, 317.29)光斑质心(500.96, 317.74)偏差: 0.05cm
第17组X15Y16:靶板中心(498.24, 319.60)光斑质心(497.89, 320.08)偏差: 0.21cm
第18组X15Y17:靶板中心(494.66, 322.37)光斑质心(494.52, 322.67)偏差: 0.14cm
第19组X15Y18:靶板中心(490.99, 325.13)光斑质心(490.88, 325.54)偏差: 0.01cm
第20组X15Y19:靶板中心(487.08, 328.27)光斑质心(486.95, 328.60)偏差: 0.10cm
第21组X15Y20:靶板中心(482.96, 331.48)光斑质心(482.74, 331.92)偏差: 0.10cm
第22组X15Y21:靶板中心(478.48, 335.06)光斑质心(478.29, 335.43)偏差: 0.00cm
第23组X15Y22:靶板中心(473.73, 338.78)光斑质心(473.54, 339.15)偏差: 0.00cm
第24组X15Y23:靶板中心(468.69, 342.83)光斑质心(468.59, 343.21)偏差: 0.01cm
第25组X15Y24:靶板中心(463.48, 347.02)光斑质心(463.26, 347.41)偏差: 0.09cm
第26组X15Y25:靶板中心(457.92, 351.47)光斑质心(457.76, 351.86)偏差: 0.04cm
第27组X15Y26:靶板中心(452.24, 356.17)光斑质心(452.01, 356.60)偏差: 0.17cm
第28组X15Y27:靶板中心(446.18, 361.09)光斑质心(446.04, 361.42)偏差: 0.03cm
第29组X15Y28:靶板中心(440.00, 366.16)光斑质心(439.85, 366.59)偏差: 0.12cm
第30组X15Y29:靶板中心(433.57, 371.58)光斑质心(433.37, 371.97)偏差: 0.13cm
第31组X15Y30:靶板中心(426.93, 377.19)光斑质心(426.77, 377.53)偏差: 0.03cm
第32组X15Y31:靶板中心(420.13, 382.96)光斑质心(419.87, 383.37)偏差: 0.25cm
第33组X15Y32:靶板中心(413.07, 389.04)光斑质心(412.87, 389.32)偏差: 0.01cm
第34组X15Y33:靶板中心(405.91, 395.29)光斑质心(405.64, 395.66)偏差: 0.22cm
